ip,hostname,mac,vendor,device_type,classification_confidence,security_score,manufacturer,model,open_ports
192.168.100.194,192.168.100.194,90:2b:34:43:d3:77,"GIGA-BYTE TECHNOLOGY CO.,LTD.",PC Windows,0.65,77,"GIGA-BYTE TECHNOLOGY CO.,LTD.",,135 139 445 3389
192.168.100.199,192.168.100.199,40:ac:bf:b5:b5:ba,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.200,192.168.100.200,3c:1b:f8:69:5b:de,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.208,192.168.100.208,40:ac:bf:b5:b5:b9,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.211,192.168.100.211,ac:b9:2f:8d:86:25,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,100,Hikvision,,80 443
192.168.100.220,192.168.100.220,08:8f:c3:be:fc:97,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",PC Windows,0.65,92,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",,135 139 445
192.168.100.236,192.168.100.236,64:db:8b:36:88:ee,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,0.45,92,Hikvision,,80
192.168.100.237,192.168.100.237,64:db:8b:36:89:bf,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.238,192.168.100.238,64:db:8b:36:89:d3,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.239,192.168.100.239,64:db:8b:36:89:a5,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.240,192.168.100.240,b4:a3:82:d6:4c:7b,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.247,192.168.100.247,64:db:8b:41:27:0c,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.248,192.168.100.248,64:db:8b:41:27:8b,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.100.249,192.168.100.249,64:db:8b:41:27:c5,"Hangzhou Hikvision Digital Technology Co.,Ltd.",Telecamera IP,1.0,100,Hikvision,,
192.168.101.1,192.168.101.1,14:49:bc:36:f8:88,DrayTek Corp.,Server,0.51,92,DrayTek Corp.,Vigor Login Page,22 80
192.168.101.11,192.168.101.11,14:49:bc:41:47:cf,DrayTek Corp.,Server,0.51,80,DrayTek Corp.,Vigor,22 23 80 443
192.168.101.12,192.168.101.12,14:49:bc:59:32:52,DrayTek Corp.,Server,0.51,80,DrayTek Corp.,Vigor,22 23 80 443
192.168.101.13,192.168.101.13,14:49:bc:59:32:89,DrayTek Corp.,Server,0.51,80,DrayTek Corp.,Vigor,22 23 80 443
192.168.101.15,192.168.101.15,14:49:bc:50:03:b5,DrayTek Corp.,Server,0.51,80,DrayTek Corp.,Vigor,22 23 80 443
192.168.101.16,192.168.101.16,14:49:bc:48:14:c8,DrayTek Corp.,Server,0.51,80,DrayTek Corp.,Vigor,22 23 80 443
192.168.101.17,192.168.101.17,14:49:bc:5f:b3:94,DrayTek Corp.,Server,0.51,80,DrayTek Corp.,Vigor,22 23 80 443
192.168.101.18,192.168.101.18,14:49:bc:50:63:3a,DrayTek Corp.,Server,0.51,80,DrayTek Corp.,Vigor,22 23 80 443
192.168.101.20,192.168.101.20,14:49:bc:50:6d:a3,DrayTek Corp.,unknown,0.0,100,DrayTek Corp.,,
192.168.101.21,192.168.101.21,14:49:bc:42:f9:34,DrayTek Corp.,Server,0.51,80,DrayTek Corp.,,22 23 80 443
192.168.101.22,192.168.101.22,14:49:bc:42:f6:d4,DrayTek Corp.,Server,0.51,80,DrayTek Corp.,,22 23 80 443
192.168.101.23,192.168.101.23,14:49:bc:42:f8:78,DrayTek Corp.,Server,0.51,80,DrayTek Corp.,,22 23 80 443
192.168.101.24,192.168.101.24,14:49:bc:42:f6:be,DrayTek Corp.,Server,0.51,80,DrayTek Corp.,,22 23 80 443
192.168.101.25,192.168.101.25,14:49:bc:42:f8:f6,DrayTek Corp.,Server,0.51,80,DrayTek Corp.,,22 23 80 443
192.168.101.27,192.168.101.27,14:49:bc:42:f7:52,DrayTek Corp.,Server,0.51,80,DrayTek Corp.,,22 23 80 443
192.168.101.28,192.168.101.28,14:49:bc:42:f7:56,DrayTek Corp.,Server,0.51,80,DrayTek Corp.,,22 23 80 443
192.168.101.29,192.168.101.29,14:49:bc:42:f8:e8,DrayTek Corp.,Server,0.51,80,DrayTek Corp.,,22 23 80 443
